label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
"Bad Schmiedeberg (Wittenberg, Sachsen-Anhalt) [15091020]",Bad Schmiedeberg,15091020,Bad Schmiedeberg,Sachsen-Anhalt,Wittenberg
Bad Schönborn,Bad Schönborn,08215100,Bad Schönborn,Baden-Württemberg,Karlsruhe
Bad Sobernheim,Bad Sobernheim,07133501,Bad Sobernheim,Rheinland-Pfalz,Bad Kreuznach
Bad Sulza,Bad Sulza,16071004,Bad Sulza,Thüringen,Weimarer Land
Bad Wildbad,Bad Wildbad,08235079,Bad Wildbad,Baden-Württemberg,Calw
"Bad Wurzach (Biberach, Baden-Württemberg)",Bad Wurzach,08426038,Eberhardzell,Baden-Württemberg,Biberach
"Bad Wurzach (Ravensburg, Baden-Württemberg)",Bad Wurzach,08436010,Bad Wurzach,Baden-Württemberg,Ravensburg
"Bad Wünnenberg (Paderborn, Nordrhein-Westfalen) [05774028]",Bad Wünnenberg,05774028,Lichtenau,Nordrhein-Westfalen,Paderborn
"Bad Wünnenberg (Paderborn, Nordrhein-Westfalen) [05774040]",Bad Wünnenberg,05774040,Bad Wünnenberg,Nordrhein-Westfalen,Paderborn
Bad Zwischenahn,Bad Zwischenahn,03451002,Bad Zwischenahn,Niedersachsen,Ammerland
Badbergen,Badbergen,03459007,Badbergen,Niedersachsen,Osnabrück
Baddeckenstedt,Baddeckenstedt,03158002,Baddeckenstedt,Niedersachsen,Wolfenbüttel
Baden-Baden,Baden-Baden,08211000,Baden-Baden,Baden-Württemberg,Baden-Baden
Badenhard,Badenhard,07140005,Badenhard,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Badenheim,Badenheim,07339004,Badenheim,Rheinland-Pfalz,Mainz-Bingen
Badersleben,Badersleben,15085185,Huy,Sachsen-Anhalt,Harz
Badow,Badow,13074072,Schildetal,Mecklenburg-Vorpommern,Nordwestmecklenburg
Baesweiler,Baesweiler,05334008,Baesweiler,Nordrhein-Westfalen,Städteregion Aachen
Bahrdorf,Bahrdorf,03154001,Bahrdorf,Niedersachsen,Helmstedt
Bahrenborstel,Bahrenborstel,03251003,Bahrenborstel,Niedersachsen,Diepholz
Bahrenfleth,Bahrenfleth,01061006,Bahrenfleth,Schleswig-Holstein,Steinburg
Bahrenhof,Bahrenhof,01060006,Bahrenhof,Schleswig-Holstein,Segeberg
Baisweil,Baisweil,09777114,Baisweil,Bayern,Ostallgäu
Bakum,Bakum,03460001,Bakum,Niedersachsen,Vechta
Balge,Balge,03256001,Balge,Niedersachsen,Nienburg (Weser)
Balje,Balje,03359004,Balje,Niedersachsen,Stade
Ballstedt,Ballstedt,16071005,Ballstedt,Thüringen,Weimarer Land
Balve,Balve,05962008,Balve,Nordrhein-Westfalen,Märkischer Kreis
Bamberg,Bamberg,09461000,Bamberg,Bayern,Bamberg
Bandenitz,Bandenitz,13076004,Bandenitz,Mecklenburg-Vorpommern,Ludwigslust-Parchim
Barby,Barby,15089026,Barby,Sachsen-Anhalt,Salzlandkreis
Bardowick,Bardowick,03355004,Bardowick,Niedersachsen,Lüneburg
Barenburg,Barenburg,03251004,Barenburg,Niedersachsen,Diepholz
Barendorf,Barendorf,03355005,Barendorf,Niedersachsen,Lüneburg
Bargenstedt,Bargenstedt,01051004,Bargenstedt,Schleswig-Holstein,Dithmarschen
Bargstedt,Bargstedt,03359005,Bargstedt,Niedersachsen,Stade
Bargteheide,Bargteheide,01062006,Bargteheide,Schleswig-Holstein,Stormarn
Bargum,Bargum,01054010,Bargum,Schleswig-Holstein,Nordfriesland
Barkelsby,Barkelsby,01058012,Barkelsby,Schleswig-Holstein,Rendsburg-Eckernförde
Barkhagen,Barkhagen,13076006,Barkhagen,Mecklenburg-Vorpommern,Ludwigslust-Parchim
Barkow,Barkow,13076006,Barkhagen,Mecklenburg-Vorpommern,Ludwigslust-Parchim
Barleben,Barleben,15083040,Barleben,Sachsen-Anhalt,Börde
Barlt,Barlt,01051006,Barlt,Schleswig-Holstein,Dithmarschen
Barnekow,Barnekow,13074003,Barnekow,Mecklenburg-Vorpommern,Nordwestmecklenburg
