year,caps,grid,nuts,val
2030,5,LV1,DEB31,0.0
2030,5,LV1,DEB32,0.0
2030,5,LV1,DEB33,6.830082943348561e-07
2030,5,LV1,DEB34,0.0
2030,5,LV1,DEB35,0.0
2030,5,LV1,DEB36,0.0
2030,5,LV1,DEB37,0.0
2030,5,LV1,DEB38,0.0
2030,5,LV1,DEB39,0.0
2030,5,LV1,DEB3A,0.0
2030,5,LV1,DEB3B,2.563291191311485e-05
2030,5,LV1,DEB3C,2.8051482937291248e-05
2030,5,LV1,DEB3D,1.323169836614835e-05
2030,5,LV1,DEB3E,0.0
2030,5,LV1,DEB3F,1.388527957704776e-05
2030,5,LV1,DEB3G,4.226872442092408e-06
2030,5,LV1,DEB3H,1.1176295636406363e-05
2030,5,LV1,DEB3I,0.0
2030,5,LV1,DEB3J,1.594471414173101e-05
2030,5,LV1,DEB3K,2.3364445813633207e-05
2030,5,LV1,DEC01,0.0
2030,5,LV1,DEC02,0.0
2030,5,LV1,DEC03,0.0
2030,5,LV1,DEC04,0.0
2030,5,LV1,DEC05,0.0
2030,5,LV1,DEC06,0.0
2030,5,LV1,DED21,0.0
2030,5,LV1,DED2C,4.0682383548209795e-05
2030,5,LV1,DED2D,3.187817256426367e-05
2030,5,LV1,DED2E,2.0070123132589915e-05
2030,5,LV1,DED2F,1.370204759588419e-05
2030,5,LV1,DED41,0.0
2030,5,LV1,DED42,2.8118098767738614e-05
2030,5,LV1,DED43,2.9661776694946242e-05
2030,5,LV1,DED44,2.0018237738545898e-05
2030,5,LV1,DED45,1.4084572438762483e-05
2030,5,LV1,DED51,0.0
2030,5,LV1,DED52,9.668427766253237e-06
2030,5,LV1,DED53,1.7898577223074254e-05
2030,5,LV1,DEE01,0.0
2030,5,LV1,DEE02,0.0
2030,5,LV1,DEE03,0.0
2030,5,LV1,DEE04,6.3404812835583096e-06
2030,5,LV1,DEE05,0.0
2030,5,LV1,DEE06,0.0
2030,5,LV1,DEE07,1.999575919201485e-05
2030,5,LV1,DEE08,1.504899253028033e-05
2030,5,LV1,DEE09,4.594750759931499e-06
2030,5,LV1,DEE0A,8.739922965603874e-06
2030,5,LV1,DEE0B,3.6086995744995387e-06
2030,5,LV1,DEE0C,8.053652189557823e-06
2030,5,LV1,DEE0D,1.0703521518941736e-05
2030,5,LV1,DEE0E,0.0
2030,5,LV1,DEF01,2.2313484104136843e-07
2030,5,LV1,DEF02,7.05985829671817e-07
2030,5,LV1,DEF03,0.0
2030,5,LV1,DEF04,2.0306918548483394e-07
2030,5,LV1,DEF05,2.422889494529978e-05
2030,5,LV1,DEF06,2.962212706230312e-05
2030,5,LV1,DEF07,2.8870219202224348e-05
2030,5,LV1,DEF08,1.2244041441702065e-05
2030,5,LV1,DEF09,3.3224565567441545e-05
2030,5,LV1,DEF0A,1.4502063612186166e-05
2030,5,LV1,DEF0B,3.0357806185738993e-05
2030,5,LV1,DEF0C,4.018517654182443e-05
2030,5,LV1,DEF0D,2.948782113565613e-05
2030,5,LV1,DEF0E,2.1150493609415145e-05
2030,5,LV1,DEF0F,2.1616179148867674e-05
2030,5,LV1,DEG01,0.0
2030,5,LV1,DEG02,2.0743209742430576e-06
2030,5,LV1,DEG03,0.0
2030,5,LV1,DEG04,0.0
2030,5,LV1,DEG05,0.0
2030,5,LV1,DEG06,2.0836226175846208e-05
2030,5,LV1,DEG07,7.631046742161022e-06
2030,5,LV1,DEG09,1.486194007667631e-05
2030,5,LV1,DEG0A,1.251708402886503e-05
2030,5,LV1,DEG0B,1.5477537402508674e-05
2030,5,LV1,DEG0C,1.6850233705830465e-05
2030,5,LV1,DEG0D,1.3072035372807828e-05
2030,5,LV1,DEG0E,9.516887927749939e-06
2030,5,LV1,DEG0F,6.452699025254425e-06
2030,5,LV1,DEG0G,6.615175448739029e-06
2030,5,LV1,DEG0H,4.720538299581838e-06
2030,5,LV1,DEG0I,1.1622456485423146e-05
2030,5,LV1,DEG0J,1.0686714719330856e-05
2030,5,LV1,DEG0K,1.2391981930310276e-05
2030,5,LV1,DEG0L,1.806303323836139e-05
2030,5,LV1,DEG0M,8.85410704502153e-06
2030,5,LV1,DEG0N,0.0
2030,5,LV1,DEG0P,1.4500601636065967e-05
2030,5,LV2,DE111,0.0
2030,5,LV2,DE112,4.5588063445379224e-05
2030,5,LV2,DE113,3.784467977705962e-05
2030,5,LV2,DE114,2.013872299510464e-05
2030,5,LV2,DE115,4.250645349053776e-05
2030,5,LV2,DE116,2.450208612983891e-05
2030,5,LV2,DE117,1.797272636833935e-05
2030,5,LV2,DE118,5.056562811972047e-05
2030,5,LV2,DE119,1.810146971554067e-05
2030,5,LV2,DE11A,2.943029381664146e-05
2030,5,LV2,DE11B,2.0265023007836365e-05
2030,5,LV2,DE11C,1.3262038722403032e-05
2030,5,LV2,DE11D,3.4436761581937644e-05
2030,5,LV2,DE121,0.0
2030,5,LV2,DE122,3.9666313402201776e-05
2030,5,LV2,DE123,4.5225800977603317e-05
2030,5,LV2,DE124,2.093330383458456e-05
2030,5,LV2,DE125,1.6534805799308892e-05
2030,5,LV2,DE126,4.1566361230486856e-05
2030,5,LV2,DE127,2.9784293469097684e-05
2030,5,LV2,DE128,7.035586964500111e-05
2030,5,LV2,DE129,1.656480053064307e-05
2030,5,LV2,DE12A,1.8785829867625506e-05
2030,5,LV2,DE12B,3.0201015440285722e-05
2030,5,LV2,DE12C,1.0340503354239131e-05
2030,5,LV2,DE131,2.6005672351235335e-05
2030,5,LV2,DE132,4.606616664228118e-05
2030,5,LV2,DE133,1.6006490768291358e-05
2030,5,LV2,DE134,4.236507133255156e-05
2030,5,LV2,DE135,1.6550693636496523e-05
2030,5,LV2,DE136,1.8267303619523596e-05
2030,5,LV2,DE137,2.245595152284919e-05
